type,adjustment,timeframe,directory
stock,adj_splitdiv,1min,stock/adj_splitdiv/1min
stock,adj_splitdiv,5min,stock/adj_splitdiv/5min
stock,adj_splitdiv,30min,stock/adj_splitdiv/30min
stock,adj_splitdiv,1hour,stock/adj_splitdiv/1hour
stock,adj_splitdiv,1day,stock/adj_splitdiv/1day
stock,adj_splitdivdiv,1min,stock/adj_splitdivdiv/1min
stock,adj_splitdivdiv,5min,stock/adj_splitdivdiv/5min
stock,adj_splitdivdiv,30min,stock/adj_splitdivdiv/30min
stock,adj_splitdivdiv,1hour,stock/adj_splitdivdiv/1hour
stock,adj_splitdivdiv,1day,stock/adj_splitdivdiv/1day
stock,UNADJUSTED,1min,stock/UNADJUSTED/1min
stock,UNADJUSTED,1day,stock/UNADJUSTED/1day
index,,1min,index/1min
index,,5min,index/5min
index,,30min,index/30min
index,,1hour,index/1hour
index,,1day,index/1day